#Release 10.1.03 - par K.39 (lin)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Tue Aug 20 15:45:06 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       PCI_PnP_map.ncd
#OUTPUT FILE:      PCI_PnP_pad.csv
#PART TYPE:        xc2s100
#SPEED GRADE:      -5
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
P1,,,VCCO,,,0,,,,,3.30,,,,,
P2,,,TCK,,,,,,,,,,,,,
P3,PCI_AD<12>,IOB,IO,BIDIR,PCI33_5,0,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P4,PCI_AD<11>,IOB,IO,BIDIR,PCI33_5,0,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P5,PCI_AD<10>,IOB,IO_VREF_0,BIDIR,PCI33_5,0,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P6,PCI_AD<9>,IOB,IO_VREF_0,BIDIR,PCI33_5,0,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P7,PCI_CBE<0>,IOB,IO,INPUT,PCI33_5,0,,,,NONE,,LOCATED,,NO,NONE,
P8,,,GND,,,,,,,,,,,,,
P9,,,VCCINT,,,,,,,,2.5,,,,,
P10,PCI_AD<8>,IOB,IO,BIDIR,PCI33_5,0,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P11,PCI_AD<6>,IOB,IO,BIDIR,PCI33_5,0,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P12,PCI_AD<7>,IOB,IO_VREF_0,BIDIR,PCI33_5,0,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P13,PCI_AD<5>,IOB,IO,BIDIR,PCI33_5,0,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P14,,,VCCINT,,,,,,,,2.5,,,,,
P15,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,,,,
P16,,,VCCO,,,0,,,,,3.30,,,,,
P17,,,GND,,,,,,,,,,,,,
P18,,GCLKIOB,GCK2,UNUSED,,1,,,,,,,,,,
P19,PCI_AD<4>,IOB,IO,BIDIR,PCI33_5,1,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P20,PCI_AD<3>,IOB,IO,BIDIR,PCI33_5,1,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P21,PCI_AD<2>,IOB,IO_VREF_1,BIDIR,PCI33_5,1,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P22,PCI_AD<1>,IOB,IO,BIDIR,PCI33_5,1,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P23,PCI_AD<0>,IOB,IO,BIDIR,PCI33_5,1,,NONE*,NONE**,NONE,,LOCATED,,NO,NONE,
P24,,,VCCINT,,,,,,,,2.5,,,,,
P25,,,GND,,,,,,,,,,,,,
P26,,IOB,IO,UNUSED,,1,,,,,,,,,,
P27,LED2,IOB,IO_VREF_1,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P28,,IOB,IO_VREF_1,UNUSED,,1,,,,,,,,,,
P29,,IOB,IO,UNUSED,,1,,,,,,,,,,
P30,,IOB,IO_WRITE,UNUSED,,1,,,,,,,,,,
P31,,IOB,IO_CS,UNUSED,,1,,,,,,,,,,
P32,,,TDI,,,,,,,,,,,,,
P33,,,GND,,,,,,,,,,,,,
P34,,,TDO,,,,,,,,,,,,,
P35,,,VCCO,,,0,,,,,3.30,,,,,
P36,,,VCCO,,,1,,,,,3.30,,,,,
P37,,,CCLK,,,,,,,,,,,,,
P38,,IOB,IO_DOUT_BUSY,UNUSED,,2,,,,,,,,,,
P39,,IOB,IO_DIN_D0,UNUSED,,2,,,,,,,,,,
P40,,IOB,IO,UNUSED,,2,,,,,,,,,,
P41,,IOB,IO_VREF_2,UNUSED,,2,,,,,,,,,,
P42,,IOB,IO,UNUSED,,2,,,,,,,,,,
P43,,IOB,IO_VREF_2,UNUSED,,2,,,,,,,,,,
P44,,IOB,IO_D1,UNUSED,,2,,,,,,,,,,
P45,,,GND,,,,,,,,,,,,,
P46,,IOB,IO_D2,UNUSED,,2,,,,,,,,,,
P47,,IOB,IO,UNUSED,,2,,,,,,,,,,
P48,,IOB,IO_VREF_2,UNUSED,,2,,,,,,,,,,
P49,,IOB,IO_D3,UNUSED,,2,,,,,,,,,,
P50,,IOB,IO,UNUSED,,2,,,,,,,,,,
P51,LED,IOB,IO_IRDY,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
P52,,,GND,,,,,,,,,,,,,
P53,,,VCCO,,,1,,,,,3.30,,,,,
P54,,PCIIOB,IO_TRDY,UNUSED,,3,,,,,,,,,,
P55,,,VCCINT,,,,,,,,2.5,,,,,
P56,,IOB,IO,UNUSED,,3,,,,,,,,,,
